,TWI,Exchange rates (quoted per NZ$),Exchange rates (quoted per NZ$),Exchange rates (quoted per NZ$),Exchange rates (quoted per NZ$),Exchange rates (quoted per NZ$),Exchange rates (quoted per NZ$),Exchange rates (quoted per NZ$),Exchange rates (quoted per NZ$),Exchange rates (quoted per NZ$),Exchange rates (quoted per NZ$),Exchange rates (quoted per NZ$),Exchange rates (quoted per NZ$),Exchange rates (quoted per NZ$),Exchange rates (quoted per NZ$),Exchange rates (quoted per NZ$),Exchange rates (quoted per NZ$),Exchange rates (quoted per NZ$),Historical TWI
,17 currency basket,United States dollar,UK pound sterling,Australian dollar,Japanese yen,German deutsche mark,Canadian dollar,South Korean won,Chinese renminbi,Malaysian ringgit,Hong Kong dollar,Indonesian rupiah,Thai baht,Singapore dollar,New Taiwan dollar,Indian rupee,Philippine peso,Vietnamese dong,Base June 1979=100
Notes,,,,,,,,,,,,,,,,,,,
Unit,Index,NZD/USD,NZD/GBP,NZD/AUD,NZD/JPY,NZD/DEM,NZD/CAD,NZD/KRW,NZD/CNY,NZD/MYR,NZD/HKD,NZD/IDR,NZD/THB,NZD/SGD,NZD/TWD,NZD/INR,NZD/PHP,NZD/VND,Index
Series Id,EXRT.DS41.NZB17,EXR.DS11.D06,EXR.DS11.D04,EXR.DS11.D01,EXR.DS11.D05,EXR.DS11.D25,EXR.DS11.D02,EXR.DS11.D12,EXR.DS11.D11,EXR.DS11.D14,EXR.DS11.D08,EXR.DS11.D13,EXR.DS11.D15,EXR.DS11.D09,EXR.DS11.D16,EXR.DS11.D31,EXR.DS11.D32,EXR.DS11.D33,EXRT.DS41.N
01 Jun 1973,,1.3272,0.5160,0.9375,,,,,,,,,,,,,,,
05 Jun 1973,,1.3272,0.5131,0.9375,,,,,,,,,,,,,,,
06 Jun 1973,,1.3272,0.5153,0.9375,,,,,,,,,,,,,,,
07 Jun 1973,,1.3272,0.5152,0.9375,,,,,,,,,,,,,,,
08 Jun 1973,,1.3272,0.5147,0.9375,,,,,,,,,,,,,,,
11 Jun 1973,,1.3272,0.5144,0.9375,,,,,,,,,,,,,,,
12 Jun 1973,,1.3272,0.5149,0.9375,,,,,,,,,,,,,,,
13 Jun 1973,,1.3272,0.5146,0.9375,,,,,,,,,,,,,,,
14 Jun 1973,,1.3272,0.5150,0.9375,,,,,,,,,,,,,,,
15 Jun 1973,,1.3272,0.5137,0.9375,,,,,,,,,,,,,,,
18 Jun 1973,,1.3272,0.5133,0.9375,,,,,,,,,,,,,,,
19 Jun 1973,,1.3272,0.5131,0.9375,,,,,,,,,,,,,,,
20 Jun 1973,,1.3272,0.5131,0.9375,,,,,,,,,,,,,,,
21 Jun 1973,,1.3272,0.5128,0.9375,,,,,,,,,,,,,,,
22 Jun 1973,,1.3272,0.5149,0.9375,,,,,,,,,,,,,,,
25 Jun 1973,,1.3272,0.5145,0.9375,,,,,,,,,,,,,,,
26 Jun 1973,,1.3272,0.5146,0.9375,,,,,,,,,,,,,,,
27 Jun 1973,,1.3272,0.5136,0.9375,,,,,,,,,,,,,,,
28 Jun 1973,,1.3272,0.5133,0.9375,,,,,,,,,,,,,,,
29 Jun 1973,,1.3272,0.5124,0.9375,,,,,,,,,,,,,,,
02 Jul 1973,,1.3272,0.5130,0.9375,,,,,,,,,,,,,,,
03 Jul 1973,,1.3272,0.5135,0.9375,,,,,,,,,,,,,,,
04 Jul 1973,,1.3272,0.5137,0.9375,,,,,,,,,,,,,,,
05 Jul 1973,,1.3272,0.5143,0.9375,,,,,,,,,,,,,,,
06 Jul 1973,,1.3272,0.5144,0.9375,,,,,,,,,,,,,,,
09 Jul 1973,,1.3703,0.5350,0.9672,,,,,,,,,,,,,,,
10 Jul 1973,,1.3681,0.5343,0.9657,,,,,,,,,,,,,,,
11 Jul 1973,,1.3617,0.5338,0.9612,,,,,,,,,,,,,,,
12 Jul 1973,,1.3598,0.5327,0.9598,,,,,,,,,,,,,,,
13 Jul 1973,,1.3594,0.5337,0.9596,,,,,,,,,,,,,,,
16 Jul 1973,,1.3599,0.5339,0.9599,,,,,,,,,,,,,,,
17 Jul 1973,,1.3605,0.5336,0.9604,,,,,,,,,,,,,,,
18 Jul 1973,,1.3621,0.5343,0.9615,,,,,,,,,,,,,,,
19 Jul 1973,,1.3628,0.5346,0.9620,,,,,,,,,,,,,,,
20 Jul 1973,,1.3585,0.5352,0.9589,,,,,,,,,,,,,,,
23 Jul 1973,,1.3608,0.5349,0.9606,,,,,,,,,,,,,,,
24 Jul 1973,,1.3595,0.5354,0.9596,,,,,,,,,,,,,,,
25 Jul 1973,,1.3565,0.5370,0.9575,,,,,,,,,,,,,,,
26 Jul 1973,,1.3497,0.5396,0.9550,,,,,,,,,,,,,,,
27 Jul 1973,,1.3447,0.5421,0.9529,,,,,,,,,,,,,,,
30 Jul 1973,,1.3556,0.5389,0.9569,,,,,,,,,,,,,,,
31 Jul 1973,,1.3520,0.5397,0.9543,,,,,,,,,,,,,,,
01 Aug 1973,,1.3579,0.5379,0.9585,,,,,,,,,,,,,,,
02 Aug 1973,,1.3559,0.5378,0.9571,,,,,,,,,,,,,,,
03 Aug 1973,,1.3548,0.5378,0.9563,,,,,,,,,,,,,,,
06 Aug 1973,,1.3519,0.5386,0.9543,,,,,,,,,,,,,,,
07 Aug 1973,,1.3479,0.5399,0.9514,,,,,,,,,,,,,,,
08 Aug 1973,,1.3494,0.5394,0.9525,,,,,,,,,,,,,,,
09 Aug 1973,,1.3499,0.5393,0.9529,,,,,,,,,,,,,,,
10 Aug 1973,,1.3452,0.5415,0.9495,,,,,,,,,,,,,,,
13 Aug 1973,,1.3439,0.5414,0.9486,,,,,,,,,,,,,,,
14 Aug 1973,,1.3432,0.5416,0.9481,,,,,,,,,,,,,,,
15 Aug 1973,,,,,,,,,,,,,,,,,,,
16 Aug 1973,,1.3384,0.5426,0.9448,,,,,,,,,,,,,,,
17 Aug 1973,,1.3372,0.5426,0.9439,,,,,,,,,,,,,,,
20 Aug 1973,,1.3374,0.5423,0.9440,,,,,,,,,,,,,,,
21 Aug 1973,,1.3429,0.5411,0.9479,,,,,,,,,,,,,,,
22 Aug 1973,,1.3397,0.5417,0.9457,,,,,,,,,,,,,,,
23 Aug 1973,,1.3383,0.5421,0.9447,,,,,,,,,,,,,,,
24 Aug 1973,,1.3362,0.5431,0.9432,,,,,,,,,,,,,,,
27 Aug 1973,,1.3379,0.5429,0.9440,,,,,,,,,,,,,,,
28 Aug 1973,,1.3379,0.5429,0.9440,,,,,,,,,,,,,,,
29 Aug 1973,,1.3370,0.5431,0.9438,,,,,,,,,,,,,,,
30 Aug 1973,,1.3391,0.5427,0.9452,,,,,,,,,,,,,,,
31 Aug 1973,,1.3377,0.5433,0.9443,,,,,,,,,,,,,,,
03 Sep 1973,,1.3378,0.5432,0.9443,,,,,,,,,,,,,,,
04 Sep 1973,,1.3372,0.5434,0.9439,,,,,,,,,,,,,,,
05 Sep 1973,,1.3331,0.5460,0.9410,,,,,,,,,,,,,,,
06 Sep 1973,,1.3282,0.5493,0.9376,,,,,,,,,,,,,,,
07 Sep 1973,,1.3313,0.5482,0.9397,,,,,,,,,,,,,,,
10 Sep 1973,,1.4780,0.6101,0.9936,,,,,,,,,,,,,,,
11 Sep 1973,,1.4755,0.6109,0.9920,,,,,,,,,,,,,,,
12 Sep 1973,,1.4737,0.6116,0.9908,,,,,,,,,,,,,,,
13 Sep 1973,,1.4735,0.6117,0.9906,,,,,,,,,,,,,,,
14 Sep 1973,,1.4754,0.6102,0.9919,,,,,,,,,,,,,,,
17 Sep 1973,,1.4746,0.6111,0.9914,,,,,,,,,,,,,,,
18 Sep 1973,,1.4764,0.6118,0.9926,,,,,,,,,,,,,,,
19 Sep 1973,,1.4776,0.6110,0.9934,,,,,,,,,,,,,,,
20 Sep 1973,,1.4779,0.6107,0.9936,,,,,,,,,,,,,,,
21 Sep 1973,,1.4804,0.6109,0.9953,,,,,,,,,,,,,,,
24 Sep 1973,,1.4786,0.6100,0.9941,,,,,,,,,,,,,,,
25 Sep 1973,,1.4792,0.6103,0.9944,,,,,,,,,,,,,,,
26 Sep 1973,,1.4798,0.6104,0.9949,,,,,,,,,,,,,,,
27 Sep 1973,,1.4801,0.6103,0.9951,,,,,,,,,,,,,,,
28 Sep 1973,,1.4782,0.6108,0.9938,,,,,,,,,,,,,,,
01 Oct 1973,,1.4767,0.6114,0.9928,,,,,,,,,,,,,,,
02 Oct 1973,,1.4771,0.6114,0.9931,,,,,,,,,,,,,,,
03 Oct 1973,,1.4765,0.6119,0.9927,,,,,,,,,,,,,,,
04 Oct 1973,,1.4772,0.6113,0.9931,,,,,,,,,,,,,,,
05 Oct 1973,,1.4763,0.6114,0.9925,,,,,,,,,,,,,,,
08 Oct 1973,,1.4764,0.6114,0.9926,,,,,,,,,,,,,,,
09 Oct 1973,,1.4764,0.6116,0.9926,,,,,,,,,,,,,,,
10 Oct 1973,,1.4763,0.6116,0.9925,,,,,,,,,,,,,,,
11 Oct 1973,,1.4813,0.6101,0.9959,,,,,,,,,,,,,,,
12 Oct 1973,,1.4797,0.6101,0.9948,,,,,,,,,,,,,,,
15 Oct 1973,,1.4806,0.6096,0.9954,,,,,,,,,,,,,,,
16 Oct 1973,,1.4812,0.6088,0.9958,,,,,,,,,,,,,,,
17 Oct 1973,,1.4834,0.6079,0.9973,,,,,,,,,,,,,,,
18 Oct 1973,,1.4885,0.6057,1.0007,,,,,,,,,,,,,,,
19 Oct 1973,,1.4852,0.6073,0.9985,,,,,,,,,,,,,,,
23 Oct 1973,,1.4833,0.6077,0.9972,,,,,,,,,,,,,,,
24 Oct 1973,,1.4845,0.6074,0.9980,,,,,,,,,,,,,,,
25 Oct 1973,,1.4858,0.6071,0.9989,,,,,,,,,,,,,,,
26 Oct 1973,,1.4844,0.6074,0.9980,,,,,,,,,,,,,,,
29 Oct 1973,,1.4817,0.6076,0.9962,,,,,,,,,,,,,,,
30 Oct 1973,,1.4777,0.6091,0.9935,,,,,,,,,,,,,,,
31 Oct 1973,,1.4801,0.6076,0.9951,,,,,,,,,,,,,,,
01 Nov 1973,,1.4813,0.6071,0.9959,,,,,,,,,,,,,,,
02 Nov 1973,,1.4783,0.6066,0.9939,,,,,,,,,,,,,,,
05 Nov 1973,,1.4749,0.6053,0.9916,,,,,,,,,,,,,,,
06 Nov 1973,,1.4733,0.6057,0.9905,,,,,,,,,,,,,,,
07 Nov 1973,,,,,,,,,,,,,,,,,,,
08 Nov 1973,,1.4681,0.6058,0.9870,,,,,,,,,,,,,,,
09 Nov 1973,,1.4670,0.6059,0.9863,,,,,,,,,,,,,,,
12 Nov 1973,,1.4625,0.6081,0.9832,,,,,,,,,,,,,,,
13 Nov 1973,,1.4566,0.6090,0.9793,,,,,,,,,,,,,,,
14 Nov 1973,,1.4540,0.6074,0.9775,,,,,,,,,,,,,,,
15 Nov 1973,,1.4560,0.6075,0.9788,,,,,,,,,,,,,,,
16 Nov 1973,,1.4539,0.6083,0.9774,,,,,,,,,,,,,,,
19 Nov 1973,,1.4541,0.6089,0.9776,,,,,,,,,,,,,,,
20 Nov 1973,,1.4556,0.6083,0.9786,,,,,,,,,,,,,,,
21 Nov 1973,,1.4553,0.6077,0.9784,,,,,,,,,,,,,,,
22 Nov 1973,,1.4547,0.6077,0.9780,,,,,,,,,,,,,,,
23 Nov 1973,,1.4511,0.6084,0.9755,,,,,,,,,,,,,,,
26 Nov 1973,,1.4422,0.6123,0.9695,,,,,,,,,,,,,,,
27 Nov 1973,,1.4399,0.6138,0.9680,,,,,,,,,,,,,,,
28 Nov 1973,,1.4418,0.6128,0.9693,,,,,,,,,,,,,,,
29 Nov 1973,,1.4382,0.6154,0.9669,,,,,,,,,,,,,,,
30 Nov 1973,,1.4437,0.6138,0.9706,,,,,,,,,,,,,,,
03 Dec 1973,,1.4401,0.6142,0.9681,,,,,,,,,,,,,,,
04 Dec 1973,,1.4393,0.6145,0.9676,,,,,,,,,,,,,,,
05 Dec 1973,,1.4362,0.6148,0.9655,,,,,,,,,,,,,,,
06 Dec 1973,,1.4383,0.6148,0.9669,,,,,,,,,,,,,,,
07 Dec 1973,,1.4384,0.6150,0.9670,,,,,,,,,,,,,,,
10 Dec 1973,,1.4354,0.6162,0.9650,,,,,,,,,,,,,,,
11 Dec 1973,,1.4305,0.6180,0.9617,,,,,,,,,,,,,,,
12 Dec 1973,,1.4385,0.6189,0.9604,,,,,,,,,,,,,,,
13 Dec 1973,,1.4329,0.6182,0.9633,,,,,,,,,,,,,,,
14 Dec 1973,,1.4316,0.6178,0.9624,,,,,,,,,,,,,,,
17 Dec 1973,,1.4301,0.6190,0.9614,,,,,,,,,,,,,,,
18 Dec 1973,,1.4285,0.6189,0.9604,,,,,,,,,,,,,,,
19 Dec 1973,,1.4298,0.6183,0.9612,,,,,,,,,,,,,,,
20 Dec 1973,,1.4303,0.6183,0.9616,,,,,,,,,,,,,,,
21 Dec 1973,,1.4286,0.6186,0.9604,,,,,,,,,,,,,,,
24 Dec 1973,,1.4288,0.6185,0.9606,,,,,,,,,,,,,,,
27 Dec 1973,,1.4293,0.6182,0.9609,,,,,,,,,,,,,,,
28 Dec 1973,,1.4284,0.6170,0.9603,,,,,,,,,,,,,,,
31 Dec 1973,,,,,,,,,,,,,,,,,,,
03 Jan 1974,,1.4221,0.6169,0.9561,,,,,,,,,,,,,,,
04 Jan 1974,,1.4160,0.6195,0.9520,,,,,,,,,,,,,,,
07 Jan 1974,,1.4138,0.6206,0.9505,,,,,,,,,,,,,,,
08 Jan 1974,,1.3839,0.6213,0.9304,,,,,,,,,,,,,,,
09 Jan 1974,,1.3851,0.6202,0.9312,,,,,,,,,,,,,,,
10 Jan 1974,,1.3929,0.6194,0.9365,,,,,,,,,,,,,,,
11 Jan 1974,,1.3933,0.6200,0.9367,,,,,,,,,,,,,,,
14 Jan 1974,,1.3938,0.6195,0.9371,,,,,,,,,,,,,,,
15 Jan 1974,,1.3872,0.6215,0.9326,,,,,,,,,,,,,,,
16 Jan 1974,,1.3727,0.6269,0.9229,,,,,,,,,,,,,,,
17 Jan 1974,,1.3731,0.6285,0.9231,,,,,,,,,,,,,,,
18 Jan 1974,,1.3711,0.6279,0.9218,,,,,,,,,,,,,,,
21 Jan 1974,,1.3753,0.6270,0.9246,,,,,,,,,,,,,,,
22 Jan 1974,,1.3645,0.6264,0.9172,,,,,,,,,,,,,,,
23 Jan 1974,,1.3654,0.6255,0.9179,,,,,,,,,,,,,,,
24 Jan 1974,,1.3682,0.6244,0.9198,,,,,,,,,,,,,,,
25 Jan 1974,,1.3743,0.6239,0.9239,,,,,,,,,,,,,,,
28 Jan 1974,,1.3748,0.6237,0.9243,,,,,,,,,,,,,,,
29 Jan 1974,,1.3780,0.6233,0.9264,,,,,,,,,,,,,,,
30 Jan 1974,,1.3852,0.6194,0.9313,,,,,,,,,,,,,,,
31 Jan 1974,,1.3952,0.6175,0.9380,,,,,,,,,,,,,,,
01 Feb 1974,,1.3986,0.6156,0.9403,,,,,,,,,,,,,,,
04 Feb 1974,,1.3992,0.6159,0.9407,,,,,,,,,,,,,,,
05 Feb 1974,,1.3993,0.6180,0.9408,,,,,,,,,,,,,,,
07 Feb 1974,,1.3956,0.6214,0.9383,,,,,,,,,,,,,,,
08 Feb 1974,,1.3838,0.6208,0.9371,,,,,,,,,,,,,,,
11 Feb 1974,,1.3927,0.6224,0.9363,,,,,,,,,,,,,,,
12 Feb 1974,,1.3978,0.6216,0.9398,,,,,,,,,,,,,,,
13 Feb 1974,,1.4020,0.6189,0.9426,,,,,,,,,,,,,,,
14 Feb 1974,,1.4055,0.6187,0.9449,,,,,,,,,,,,,,,
15 Feb 1974,,1.4081,0.6182,0.9467,,,,,,,,,,,,,,,
18 Feb 1974,,1.4068,0.6182,0.9458,,,,,,,,,,,,,,,
19 Feb 1974,,1.4128,0.6186,0.9498,,,,,,,,,,,,,,,
20 Feb 1974,,1.4123,0.6183,0.9495,,,,,,,,,,,,,,,
21 Feb 1974,,1.4179,0.6173,0.9532,,,,,,,,,,,,,,,
22 Feb 1974,,1.4220,0.6195,0.9560,,,,,,,,,,,,,,,
25 Feb 1974,,1.4304,0.6169,0.9616,,,,,,,,,,,,,,,
26 Feb 1974,,1.4232,0.6183,0.9568,,,,,,,,,,,,,,,
27 Feb 1974,,1.4251,0.6161,0.9581,,,,,,,,,,,,,,,
28 Feb 1974,,1.4223,0.6169,0.9562,,,,,,,,,,,,,,,
01 Mar 1974,,1.4211,0.6163,0.9554,,,,,,,,,,,,,,,
04 Mar 1974,,1.4122,0.6178,0.9494,,,,,,,,,,,,,,,
05 Mar 1974,,1.4112,0.6187,0.9488,,,,,,,,,,,,,,,
06 Mar 1974,,1.4293,0.6126,0.9609,,,,,,,,,,,,,,,
07 Mar 1974,,1.4270,0.6133,0.9594,,,,,,,,,,,,,,,
08 Mar 1974,,1.4272,0.6141,0.9595,,,,,,,,,,,,,,,
11 Mar 1974,,1.4282,0.6142,0.9602,,,,,,,,,,,,,,,
12 Mar 1974,,1.4300,0.6149,0.9614,,,,,,,,,,,,,,,
13 Mar 1974,,1.4331,0.6147,0.9634,,,,,,,,,,,,,,,
14 Mar 1974,,1.4379,0.6116,0.9667,,,,,,,,,,,,,,,
15 Mar 1974,,1.4357,0.6122,0.9652,,,,,,,,,,,,,,,
18 Mar 1974,,1.4335,0.6139,0.9637,,,,,,,,,,,,,,,
19 Mar 1974,,1.4334,0.6145,0.9637,,,,,,,,,,,,,,,
20 Mar 1974,,1.4356,0.6145,0.9651,,,,,,,,,,,,,,,
21 Mar 1974,,1.4433,0.6134,0.9704,,,,,,,,,,,,,,,
22 Mar 1974,,1.4458,0.6124,0.9720,,,,,,,,,,,,,,,
25 Mar 1974,,1.4440,0.6148,0.9708,,,,,,,,,,,,,,,
26 Mar 1974,,1.4512,0.6130,0.9756,,,,,,,,,,,,,,,
27 Mar 1974,,1.4528,0.6123,0.9767,,,,,,,,,,,,,,,
28 Mar 1974,,1.4523,0.6110,0.9764,,,,,,,,,,,,,,,
29 Mar 1974,,1.4669,0.6072,0.9862,,,,,,,,,,,,,,,
01 Apr 1974,,1.4581,0.6086,0.9853,,,,,,,,,,,,,,,
02 Apr 1974,,1.4549,0.6068,0.9781,,,,,,,,,,,,,,,
03 Apr 1974,,1.4587,0.6080,0.9807,,,,,,,,,,,,,,,
04 Apr 1974,,1.4570,0.6072,0.9795,,,,,,,,,,,,,,,
05 Apr 1974,,1.4547,0.6072,0.9780,,,,,,,,,,,,,,,
08 Apr 1974,,1.4549,0.6074,0.9781,,,,,,,,,,,,,,,
09 Apr 1974,,1.4553,0.6074,0.9784,,,,,,,,,,,,,,,
10 Apr 1974,,1.4488,0.6088,0.9740,,,,,,,,,,,,,,,
11 Apr 1974,,1.4450,0.6123,0.9714,,,,,,,,,,,,,,,
16 Apr 1974,,1.4480,0.6120,0.9735,,,,,,,,,,,,,,,
17 Apr 1974,,1.4462,0.6125,0.9722,,,,,,,,,,,,,,,
18 Apr 1974,,1.4498,0.6115,0.9747,,,,,,,,,,,,,,,
19 Apr 1974,,1.4522,0.6109,0.9763,,,,,,,,,,,,,,,
22 Apr 1974,,1.4542,0.6091,0.9775,,,,,,,,,,,,,,,
23 Apr 1974,,1.4591,0.6079,0.9809,,,,,,,,,,,,,,,
24 Apr 1974,,1.4608,0.6077,0.9821,,,,,,,,,,,,,,,
26 Apr 1974,,1.4589,0.6068,0.9808,,,,,,,,,,,,,,,
29 Apr 1974,,1.4619,0.6053,0.9828,,,,,,,,,,,,,,,
30 Apr 1974,,1.4683,0.6027,0.9871,,,,,,,,,,,,,,,
01 May 1974,,1.4635,0.6041,0.9839,,,,,,,,,,,,,,,
02 May 1974,,1.4635,0.6047,0.9839,,,,,,,,,,,,,,,
03 May 1974,,1.4642,0.6041,0.9844,,,,,,,,,,,,,,,
06 May 1974,,1.4648,0.6046,0.9848,,,,,,,,,,,,,,,
07 May 1974,,1.4695,0.6030,0.9879,,,,,,,,,,,,,,,
08 May 1974,,1.4664,0.6050,0.9859,,,,,,,,,,,,,,,
09 May 1974,,1.4707,0.6043,0.9887,,,,,,,,,,,,,,,
10 May 1974,,1.4705,0.6043,0.9886,,,,,,,,,,,,,,,
13 May 1974,,1.4704,0.6047,0.9885,,,,,,,,,,,,,,,
14 May 1974,,1.4718,0.6053,0.9895,,,,,,,,,,,,,,,
15 May 1974,,1.4668,0.6077,0.9861,,,,,,,,,,,,,,,
16 May 1974,,1.4637,0.6059,0.9840,,,,,,,,,,,,,,,
17 May 1974,,1.4658,0.6068,0.9854,,,,,,,,,,,,,,,
20 May 1974,,1.4650,0.6071,0.9849,,,,,,,,,,,,,,,
21 May 1974,,1.4619,0.6072,0.9828,,,,,,,,,,,,,,,
22 May 1974,,1.4624,0.6069,0.9831,,,,,,,,,,,,,,,
23 May 1974,,1.4646,0.6058,0.9846,,,,,,,,,,,,,,,
24 May 1974,,1.4636,0.6064,0.9840,,,,,,,,,,,,,,,
27 May 1974,,1.4622,0.6083,0.9830,,,,,,,,,,,,,,,
28 May 1974,,1.4622,0.6083,0.9830,,,,,,,,,,,,,,,
29 May 1974,,1.4591,0.6089,0.9809,,,,,,,,,,,,,,,
30 May 1974,,1.4560,0.6083,0.9788,,,,,,,,,,,,,,,
31 May 1974,,1.4560,0.6082,0.9788,,,,,,,,,,,,,,,
04 Jun 1974,,1.4567,0.6070,0.9793,,,,,,,,,,,,,,,
05 Jun 1974,,1.4577,0.6068,0.9800,,,,,,,,,,,,,,,
06 Jun 1974,,1.4613,0.6058,0.9824,,,,,,,,,,,,,,,
07 Jun 1974,,1.4608,0.6064,0.9820,,,,,,,,,,,,,,,
10 Jun 1974,,1.4585,0.6068,0.9805,,,,,,,,,,,,,,,
11 Jun 1974,,1.4577,0.6072,0.9800,,,,,,,,,,,,,,,
12 Jun 1974,,1.4569,0.6076,0.9794,,,,,,,,,,,,,,,
13 Jun 1974,,1.4553,0.6074,0.9784,,,,,,,,,,,,,,,
14 Jun 1974,,1.4549,0.6081,0.9781,,,,,,,,,,,,,,,
17 Jun 1974,,1.4555,0.6080,0.9785,,,,,,,,,,,,,,,
18 Jun 1974,,1.4500,0.6064,0.9748,,,,,,,,,,,,,,,
19 Jun 1974,,1.4538,0.6085,0.9773,,,,,,,,,,,,,,,
20 Jun 1974,,1.4544,0.6082,0.9778,,,,,,,,,,,,,,,
21 Jun 1974,,1.4533,0.6085,0.9770,,,,,,,,,,,,,,,
24 Jun 1974,,1.4482,0.6098,0.9736,,,,,,,,,,,,,,,
25 Jun 1974,,1.4427,0.6125,0.9699,,,,,,,,,,,,,,,
26 Jun 1974,,1.4509,0.6099,0.9754,,,,,,,,,,,,,,,
27 Jun 1974,,1.4505,0.6092,0.9751,,,,,,,,,,,,,,,
28 Jun 1974,,1.4539,0.6081,0.9774,,,,,,,,,,,,,,,
01 Jul 1974,,1.4537,0.6078,0.9773,,,,,,,,,,,,,,,
02 Jul 1974,,1.4519,0.6076,0.9761,,,,,,,,,,,,,,,
03 Jul 1974,,1.4544,0.6059,0.9778,,,,,,,,,,,,,,,
04 Jul 1974,,1.4541,0.6065,0.9776,,,,,,,,,,,,,,,
05 Jul 1974,,1.4517,0.6078,0.9759,,,,,,,,,,,,,,,
08 Jul 1974,,1.4511,0.6072,0.9755,,,,,,,,,,,,,,,
09 Jul 1974,,1.4508,0.6070,0.9753,,,,,,,,,,,,,,,
10 Jul 1974,,1.4498,0.6069,0.9747,,,,,,,,,,,,,,,
11 Jul 1974,,1.4485,0.6061,0.9738,,,,,,,,,,,,,,,
12 Jul 1974,,1.4468,0.6065,0.9727,,,,,,,,,,,,,,,
15 Jul 1974,,1.4494,0.6069,0.9744,,,,,,,,,,,,,,,
16 Jul 1974,,1.4500,0.6071,0.9748,,,,,,,,,,,,,,,
17 Jul 1974,,1.4501,0.6074,0.9749,,,,,,,,,,,,,,,
18 Jul 1974,,,,,,,,,,,,,,,,,,,
19 Jul 1974,,1.4508,0.6060,0.9753,,,,,,,,,,,,,,,
22 Jul 1974,,1.4499,0.6057,0.9747,,,,,,,,,,,,,,,
23 Jul 1974,,1.4498,0.6057,0.9747,,,,,,,,,,,,,,,
24 Jul 1974,,1.4493,0.6059,0.9743,,,,,,,,,,,,,,,
25 Jul 1974,,1.4511,0.6060,0.9755,,,,,,,,,,,,,,,
26 Jul 1974,,1.4490,0.6055,0.9741,,,,,,,,,,,,,,,
29 Jul 1974,,1.4475,0.6048,0.9731,,,,,,,,,,,,,,,
30 Jul 1974,,1.4453,0.6036,0.9716,,,,,,,,,,,,,,,
31 Jul 1974,,1.4471,0.6044,0.9729,,,,,,,,,,,,,,,
01 Aug 1974,,1.4422,0.6047,0.9696,,,,,,,,,,,,,,,
02 Aug 1974,,1.4422,0.6047,0.9696,,,,,,,,,,,,,,,
05 Aug 1974,,1.4446,0.6054,0.9712,,,,,,,,,,,,,,,
06 Aug 1974,,1.4446,0.6056,0.9712,,,,,,,,,,,,,,,
07 Aug 1974,,1.4432,0.6056,0.9702,,,,,,,,,,,,,,,
08 Aug 1974,,1.4391,0.6063,0.9675,,,,,,,,,,,,,,,
09 Aug 1974,,1.4379,0.6071,0.9667,,,,,,,,,,,,,,,
12 Aug 1974,,1.4395,0.6062,0.9678,,,,,,,,,,,,,,,
13 Aug 1974,,1.4388,0.6069,0.9673,,,,,,,,,,,,,,,
14 Aug 1974,,1.4348,0.6083,0.9646,,,,,,,,,,,,,,,
15 Aug 1974,,1.4352,0.6085,0.9648,,,,,,,,,,,,,,,
16 Aug 1974,,1.4315,0.6100,0.9624,,,,,,,,,,,,,,,
19 Aug 1974,,1.4282,0.6115,0.9602,,,,,,,,,,,,,,,
20 Aug 1974,,1.4252,0.6131,0.9582,,,,,,,,,,,,,,,
21 Aug 1974,,1.4255,0.6139,0.9584,,,,,,,,,,,,,,,
22 Aug 1974,,1.4248,0.6135,0.9579,,,,,,,,,,,,,,,
23 Aug 1974,,1.4239,0.6145,0.9573,,,,,,,,,,,,,,,
26 Aug 1974,,1.4260,0.6135,0.9586,,,,,,,,,,,,,,,
27 Aug 1974,,1.4262,0.6133,0.9588,,,,,,,,,,,,,,,
28 Aug 1974,,1.4226,0.6152,0.9564,,,,,,,,,,,,,,,
29 Aug 1974,,1.4070,0.6141,0.9571,,,,,,,,,,,,,,,
30 Aug 1974,,1.4055,0.6139,0.9571,,,,,,,,,,,,,,,
02 Sep 1974,,1.4229,0.6141,0.9566,,,,,,,,,,,,,,,
03 Sep 1974,,1.4216,0.6147,0.9557,,,,,,,,,,,,,,,
04 Sep 1974,,1.4034,0.6151,0.9564,,,,,,,,,,,,,,,
05 Sep 1974,,1.4226,0.6147,0.9564,,,,,,,,,,,,,,,
06 Sep 1974,,1.4218,0.6149,0.9559,,,,,,,,,,,,,,,
09 Sep 1974,,1.4218,0.6149,0.9559,,,,,,,,,,,,,,,
10 Sep 1974,,1.4224,0.6145,0.9562,,,,,,,,,,,,,,,
11 Sep 1974,,1.4239,0.6143,0.9573,,,,,,,,,,,,,,,
12 Sep 1974,,1.4235,0.6146,0.9570,,,,,,,,,,,,,,,
13 Sep 1974,,1.4240,0.6147,0.9573,,,,,,,,,,,,,,,
16 Sep 1974,,1.4241,0.6157,0.9574,,,,,,,,,,,,,,,
17 Sep 1974,,1.4248,0.6157,0.9579,,,,,,,,,,,,,,,
18 Sep 1974,,1.4285,0.6162,0.9603,,,,,,,,,,,,,,,
19 Sep 1974,,1.4285,0.6159,0.9603,,,,,,,,,,,,,,,
20 Sep 1974,,1.4266,0.6164,0.9591,,,,,,,,,,,,,,,
23 Sep 1974,,1.4280,0.6166,0.9600,,,,,,,,,,,,,,,
